cty,county_name,statename,state_id,csa,csa_name,w2_or_sc_nz_30_q1_f,w2_or_sc_nz_30_q1_m,w2_or_sc_nz_30_q2_f,w2_or_sc_nz_30_q2_m,w2_or_sc_nz_30_q3_f,w2_or_sc_nz_30_q3_m,w2_or_sc_nz_30_q4_f,w2_or_sc_nz_30_q4_m,w2_or_sc_nz_30_q5_f,w2_or_sc_nz_30_q5_m,w2_pos_30_q1_f,w2_pos_30_q1_m,w2_pos_30_q2_f,w2_pos_30_q2_m,w2_pos_30_q3_f,w2_pos_30_q3_m,w2_pos_30_q4_f,w2_pos_30_q4_m,w2_pos_30_q5_f,w2_pos_30_q5_m,w2_pos_30_var_q1_f,w2_pos_30_var_q1_m,w2_pos_30_var_q2_f,w2_pos_30_var_q2_m,w2_pos_30_var_q3_f,w2_pos_30_var_q3_m,w2_pos_30_var_q4_f,w2_pos_30_var_q4_m,w2_pos_30_var_q5_f,w2_pos_30_var_q5_m,w2_or_sc_nz_30_q1_f_sp,w2_or_sc_nz_30_q1_m_sp,w2_or_sc_nz_30_q2_f_sp,w2_or_sc_nz_30_q2_m_sp,w2_or_sc_nz_30_q3_f_sp,w2_or_sc_nz_30_q3_m_sp,w2_or_sc_nz_30_q4_f_sp,w2_or_sc_nz_30_q4_m_sp,w2_or_sc_nz_30_q5_f_sp,w2_or_sc_nz_30_q5_m_sp,w2_pos_30_q1_f_sp,w2_pos_30_q1_m_sp,w2_pos_30_q2_f_sp,w2_pos_30_q2_m_sp,w2_pos_30_q3_f_sp,w2_pos_30_q3_m_sp,w2_pos_30_q4_f_sp,w2_pos_30_q4_m_sp,w2_pos_30_q5_f_sp,w2_pos_30_q5_m_sp,w2_pos_30_var_q1_f_sp,w2_pos_30_var_q1_m_sp,w2_pos_30_var_q2_f_sp,w2_pos_30_var_q2_m_sp,w2_pos_30_var_q3_f_sp,w2_pos_30_var_q3_m_sp,w2_pos_30_var_q4_f_sp,w2_pos_30_var_q4_m_sp,w2_pos_30_var_q5_f_sp,w2_pos_30_var_q5_m_sp,w2_or_sc_nz_30_q1_f_tp,w2_or_sc_nz_30_q1_m_tp,w2_or_sc_nz_30_q2_f_tp,w2_or_sc_nz_30_q2_m_tp,w2_or_sc_nz_30_q3_f_tp,w2_or_sc_nz_30_q3_m_tp,w2_or_sc_nz_30_q4_f_tp,w2_or_sc_nz_30_q4_m_tp,w2_or_sc_nz_30_q5_f_tp,w2_or_sc_nz_30_q5_m_tp,w2_pos_30_q1_f_tp,w2_pos_30_q1_m_tp,w2_pos_30_q2_f_tp,w2_pos_30_q2_m_tp,w2_pos_30_q3_f_tp,w2_pos_30_q3_m_tp,w2_pos_30_q4_f_tp,w2_pos_30_q4_m_tp,w2_pos_30_q5_f_tp,w2_pos_30_q5_m_tp,w2_pos_30_var_q1_f_tp,w2_pos_30_var_q1_m_tp,w2_pos_30_var_q2_f_tp,w2_pos_30_var_q2_m_tp,w2_pos_30_var_q3_f_tp,w2_pos_30_var_q3_m_tp,w2_pos_30_var_q4_f_tp,w2_pos_30_var_q4_m_tp,w2_pos_30_var_q5_f_tp,w2_pos_30_var_q5_m_tp
1021,Chilton,Alabama,1,142,"Birmingham-Hoover-Talladega, AL",0.712,0.807692308,0.73255814,0.854368932,0.8,0.918918919,0.813333333,0.936708861,0.808510638,0.930232558,0.656,0.701923077,0.686046512,0.796116505,0.711111111,0.882882883,0.733333333,0.911392405,0.723404255,0.906976744,0.001805312,0.002011799,0.002504496,0.001575874,0.002282579,0.000931538,0.002607408,0.001022232,0.004257246,0.001962091,0.746987952,0.803030303,0.666666667,0.860465116,,1,,,,,0.710843374,0.681818182,0.606060606,0.767441861,,0.923076923,,,,,0.002476447,0.003287002,0.007234884,0.004150578,,0.005461994,,,,,0.642857143,0.815789474,0.773584906,0.85,0.819277108,0.908163265,0.828571429,0.932432432,0.804347826,0.930232558,0.547619048,0.736842105,0.735849057,0.816666667,0.722891566,0.87755102,0.742857143,0.905405405,0.717391304,0.906976744,0.005898391,0.005102785,0.003667457,0.00249537,0.002413486,0.001096482,0.002728863,0.001157385,0.004407413,0.001962091
1023,Choctaw,Alabama,1,,,0.795454546,0.727272727,0.846153846,0.8,0.769230769,0.805555556,0.941176471,0.878787879,0.772727273,0.92,0.761363636,0.715909091,0.75,0.8,0.769230769,0.805555556,0.803921569,0.848484849,0.636363636,0.88,0.002064648,0.002311173,0.003605769,0.003555556,0.006827492,0.004350995,0.003090817,0.003895706,0.010518407,0.004224,0.791044776,0.682539683,0.888888889,0.75,,,,,,,0.76119403,0.666666667,0.740740741,0.75,,,,,,,0.0027131,0.003527337,0.007112737,0.01171875,,,,,,,0.80952381,0.84,0.8,0.827586207,0.666666667,0.785714286,0.931818182,0.88,0.761904762,0.916666667,0.761904762,0.84,0.76,0.827586207,0.666666667,0.785714286,0.795454546,0.84,0.619047619,0.875,0.008638376,0.005376,0.007296,0.004920251,0.012345679,0.00601312,0.003697878,0.005376,0.011229889,0.004557292
1025,Clarke,Alabama,1,,,0.726744186,0.793548387,0.806722689,0.816513762,0.833333333,0.920634921,0.795918367,0.909090909,0.862745098,0.886792453,0.622093023,0.787096774,0.739495798,0.788990826,0.772727273,0.888888889,0.744897959,0.896103896,0.843137255,0.867924528,0.001366822,0.001081132,0.001618838,0.001527379,0.002660907,0.001567705,0.001939031,0.001209113,0.002593271,0.002162859,0.753731343,0.816,0.867647059,0.75,0.75,,,,,,0.649253731,0.808,0.794117647,0.75,0.6875,,,,,,0.001699428,0.001241088,0.002404335,0.003125,0.013427734,,,,,,0.631578947,0.7,0.725490196,0.897959184,0.86,0.928571429,0.802197802,0.917808219,0.857142857,0.884615385,0.52631579,0.7,0.666666667,0.836734694,0.8,0.892857143,0.747252747,0.904109589,0.836734694,0.865384615,0.006560723,0.007,0.004357298,0.002787954,0.0032,0.001708273,0.002075451,0.001187609,0.002787954,0.002240271
1027,Clay,Alabama,1,,,0.740740741,0.824561404,0.682926829,0.885245902,0.8125,0.947368421,0.954545455,0.833333333,1,,0.666666667,0.807017544,0.634146342,0.819672131,0.8125,0.921052632,0.818181818,0.8,1,,0.004115226,0.002732285,0.005658653,0.00242311,0.004760742,0.001913544,0.006761833,0.005333333,0,,0.71875,0.852941177,0.722222222,0.84,,,,,,,0.625,0.823529412,0.666666667,0.76,,,,,,,0.007324219,0.004274374,0.012345679,0.007296,,,,,,,0.772727273,0.782608696,0.652173913,0.916666667,0.821428571,0.9375,0.954545455,0.833333333,1,,0.727272727,0.782608696,0.608695652,0.861111111,0.821428571,0.90625,0.818181818,0.8,1,,0.009015777,0.007397058,0.01035588,0.003322188,0.005238703,0.002655029,0.006761833,0.005333333,0,
1029,Cleburne,Alabama,1,,,0.692307692,0.692307692,0.731707317,0.8,0.916666667,0.903846154,0.857142857,0.84375,,,0.615384615,0.653846154,0.634146342,0.775,0.854166667,0.846153846,0.821428571,0.78125,,,0.009103322,0.008705053,0.005658653,0.004359375,0.002595125,0.002503414,0.005238703,0.005340576,,,0.764705882,0.666666667,0.6,,,,,,,,0.705882353,0.666666667,0.5,,,,,,,,0.012212497,0.018518519,0.025,,,,,,,,,0.714285714,0.774193548,0.875,0.911111111,0.934782609,0.851851852,0.84375,,,,0.642857143,0.677419355,0.84375,0.844444444,0.869565217,0.851851852,0.78125,,,,0.016399417,0.007049109,0.004119873,0.002919067,0.002465686,0.004674084,0.005340576,,
1031,Coffee,Alabama,1,222,"Dothan-Enterprise-Ozark, AL",0.803278689,0.766129032,0.776699029,0.81443299,0.828828829,0.907407407,0.815533981,0.951456311,0.888888889,0.861111111,0.770491803,0.717741936,0.747572816,0.783505155,0.801801802,0.898148148,0.805825243,0.912621359,0.819444444,0.819444444,0.001449461,0.001633778,0.001832114,0.00174871,0.001431673,0.000847019,0.001519135,0.00077421,0.002054934,0.002054934,0.825,0.756097561,0.722222222,0.75,,0.8,,,,,0.7875,0.731707317,0.694444444,0.75,,0.8,,,,,0.002091797,0.002394046,0.005894205,0.004261364,,0.010666667,,,,,0.761904762,0.785714286,0.805970149,0.867924528,0.825242718,0.924731183,0.808080808,0.948979592,0.887323944,0.861111111,0.738095238,0.690476191,0.776119403,0.811320755,0.796116505,0.913978495,0.797979798,0.908163265,0.816901409,0.819444444,0.004602635,0.005088544,0.002593404,0.00288829,0.001575874,0.000845396,0.001628364,0.000851048,0.002106669,0.002054934
1033,Colbert,Alabama,1,,,0.717241379,0.730263158,0.727941177,0.781690141,0.810218978,0.862068966,0.805755396,0.948051948,0.925531915,0.931034483,0.648275862,0.671052632,0.617647059,0.746478873,0.766423358,0.84137931,0.741007194,0.896103896,0.85106383,0.908045977,0.001572512,0.001452243,0.001736464,0.001332734,0.001306705,0.000920415,0.001380687,0.000604557,0.001348449,0.000959753,0.69,0.696078431,0.690909091,0.74137931,0.857142857,0.88,,1,,,0.65,0.676470588,0.6,0.672413793,0.857142857,0.84,,1,,,0.002275,0.002145668,0.004363637,0.003797819,0.005830904,0.005376,,0,,,0.777777778,0.8,0.75308642,0.80952381,0.801724138,0.858333333,0.812030075,0.943262411,0.923076923,0.927710843,0.644444444,0.66,0.62962963,0.797619048,0.75,0.841666667,0.744360902,0.886524823,0.846153846,0.903614458,0.005091907,0.004488,0.002878965,0.001921701,0.001616379,0.001110532,0.001430735,0.000713465,0.001430522,0.001049342
1035,Conecuh,Alabama,1,,,0.842105263,0.7375,0.872340426,0.872727273,0.820512821,0.9,0.818181818,0.961538462,,1,0.778947368,0.725,0.765957447,0.836363636,0.820512821,0.875,0.772727273,0.961538462,,0.9,0.001812509,0.002492188,0.003814184,0.002488355,0.003776193,0.002734375,0.00798272,0.001422394,,0.009,0.855072464,0.746268657,0.92,0.853658537,,,,,,,0.797101449,0.731343284,0.76,0.853658537,,,,,,,0.002343924,0.002932542,0.007296,0.003046967,,,,,,,0.807692308,0.692307692,0.818181818,0.928571429,0.848484849,0.935483871,0.85,0.96,,1,0.730769231,0.692307692,0.772727273,0.785714286,0.848484849,0.903225807,0.85,0.96,,0.9,0.007567137,0.016385982,0.00798272,0.012026239,0.003895706,0.002819644,0.006375,0.001536,,0.009
1037,Coosa,Alabama,1,142,"Birmingham-Hoover-Talladega, AL",0.739130435,0.740740741,0.890909091,0.837209302,0.875,0.875,0.7,0.866666667,,,0.739130435,0.685185185,0.836363636,0.837209302,0.875,0.875,0.7,0.8,,,0.004191666,0.003994564,0.002488355,0.003169532,0.003417969,0.004557292,0.021,0.010666667,,,0.7,0.682926829,0.842105263,0.777777778,,,,,,,0.7,0.634146342,0.815789474,0.777777778,,,,,,,0.00525,0.005658653,0.003954658,0.006401463,,,,,,,,0.923076923,1,0.9375,0.846153846,0.857142857,,0.846153846,,,,0.846153846,0.882352941,0.9375,0.846153846,0.857142857,,0.769230769,,,,0.010013655,0.006106249,0.003662109,0.005006827,0.005830904,,0.013654985,,
1039,Covington,Alabama,1,,,0.702531646,0.767441861,0.764227642,0.887096774,0.836206897,0.944954128,0.890625,0.948717949,0.865384615,0.853658537,0.639240506,0.751937985,0.739837398,0.85483871,0.801724138,0.880733945,0.859375,0.935897436,0.865384615,0.853658537,0.00145957,0.001445948,0.001564862,0.001000722,0.001370367,0.000963685,0.001888275,0.000769146,0.002240271,0.003046967,0.75,0.696629214,0.772727273,0.944444444,0.928571429,1,,,,,0.669642857,0.685393258,0.727272727,0.916666667,0.857142857,0.923076923,,,,,0.00197519,0.002422802,0.004507889,0.002121914,0.008746356,0.005461994,,,,,0.586956522,0.925,0.759493671,0.863636364,0.823529412,0.9375,0.901639344,0.94520548,0.862745098,0.875,0.565217391,0.9,0.746835443,0.829545455,0.794117647,0.875,0.868852459,0.931506849,0.862745098,0.875,0.00534232,0.00225,0.00239332,0.001606816,0.00160289,0.001139323,0.001867998,0.000873998,0.002321882,0.002734375
1041,Crenshaw,Alabama,1,,,0.862745098,0.86,0.777777778,0.967741936,0.9,0.967741936,0.85,0.909090909,0.846153846,1,0.784313726,0.84,0.777777778,0.967741936,0.866666667,0.967741936,0.8,0.909090909,0.692307692,1,0.003316975,0.002688,0.003840878,0.001007016,0.003851852,0.001007016,0.008,0.003756574,0.016385982,0,0.848484849,0.864864865,0.75,,,,,,,,0.818181818,0.837837838,0.75,,,,,,,,0.004507889,0.003672043,0.01171875,,,,,,,,0.888888889,0.846153846,0.793103448,0.96,0.888888889,0.965517241,0.833333333,0.952380952,0.846153846,1,0.722222222,0.846153846,0.793103448,0.96,0.851851852,0.965517241,0.777777778,0.952380952,0.692307692,1,0.011145405,0.010013655,0.005658289,0.001536,0.004674084,0.001148059,0.009602195,0.002159594,0.016385982,0
1043,Cullman,Alabama,1,142,"Birmingham-Hoover-Talladega, AL",0.705882353,0.781609195,0.767634855,0.829457364,0.810810811,0.868327402,0.847715736,0.885057471,0.869047619,0.897435897,0.64171123,0.666666667,0.705394191,0.775193798,0.752252252,0.829181495,0.776649746,0.856321839,0.845238095,0.833333333,0.001229508,0.001277139,0.000862296,0.000675459,0.000839499,0.000504055,0.000880533,0.000707096,0.00155727,0.001780627,0.723809524,0.784090909,0.818181818,0.83908046,0.85,0.807692308,,,,,0.638095238,0.681818182,0.792207792,0.804597701,0.75,0.730769231,,,,,0.002199331,0.002465252,0.002137852,0.001807129,0.009375,0.007567137,,,,,0.682926829,0.779069767,0.743902439,0.824561404,0.806930693,0.874509804,0.842105263,0.882352941,0.86746988,0.904109589,0.646341463,0.651162791,0.664634146,0.760233918,0.752475248,0.839215686,0.768421053,0.858823529,0.843373494,0.835616438,0.002787612,0.002641277,0.00135912,0.001065955,0.000922061,0.000529148,0.00093658,0.00071321,0.001591502,0.001881666
1045,Dale,Alabama,1,222,"Dothan-Enterprise-Ozark, AL",0.84137931,0.696629214,0.8,0.822429907,0.806722689,0.880952381,0.829787234,0.918367347,0.822222222,0.882352941,0.765517241,0.662921348,0.765217391,0.775700935,0.74789916,0.873015873,0.734042553,0.87755102,0.8,0.882352941,0.001237935,0.002510749,0.001562259,0.001626065,0.00158442,0.000879835,0.002076852,0.001096482,0.003555556,0.003053124,0.858490566,0.629032258,0.816326531,0.744186047,0.8,0.842105263,,,,,0.79245283,0.612903226,0.795918367,0.720930233,0.733333333,0.842105263,,,,,0.001551617,0.003826659,0.003314945,0.004678833,0.013037037,0.006998105,,,,,0.794871795,0.851851852,0.787878788,0.875,0.807692308,0.887850467,0.822222222,0.917525773,0.818181818,0.878787879,0.692307692,0.777777778,0.742424242,0.8125,0.75,0.878504673,0.722222222,0.87628866,0.795454546,0.878787879,0.005461994,0.006401463,0.002897432,0.002380371,0.001802885,0.000997516,0.002229081,0.001117596,0.003697878,0.003227871
